"","SEQN","SDDSRVYR","RIDSTATR","RIAGENDR","RIDAGEYR","RIDAGEMN","RIDRETH1","RIDRETH3","RIDEXMON","DMDBORN4","DMDYRUSZ","DMDEDUC2","DMDMARTZ","RIDEXPRG","SIALANG","SIAPROXY","SIAINTRP","FIALANG","FIAPROXY","FIAINTRP","MIALANG","MIAPROXY","MIAINTRP","AIALANGA","WTINTPRP","WTMECPRP","SDMVPSU","SDMVSTRA","INDFMPIR"
"13236",122498,66,2,1,11,NA,4,4,2,1,NA,NA,NA,NA,1,1,2,1,2,2,1,2,2,NA,3534.670969,3854.567978,1,149,2.37
"13237",122499,66,2,2,55,NA,3,3,2,1,NA,3,1,NA,1,2,2,1,2,2,1,2,2,1,22887.615756,24709.79291,2,164,5
"13238",122500,66,2,2,23,NA,3,3,1,1,NA,5,3,2,1,2,2,1,2,2,1,2,2,1,109068.42522,117800.364175,2,162,2.97
"13239",122501,66,2,1,40,NA,3,3,1,1,NA,2,1,NA,1,2,2,1,2,2,1,2,2,1,23669.368033,24154.839599,1,165,1.08
"13240",122502,66,2,2,60,NA,3,3,1,1,NA,3,1,NA,1,2,2,1,2,2,1,2,2,1,20523.649691,21213.402512,1,158,0.59
"13241",122503,66,2,2,32,NA,5,6,1,2,2,3,1,2,1,2,2,1,2,2,1,2,2,NA,17106.679069,18031.559111,1,162,1.67
"13242",122504,66,2,1,47,NA,4,4,2,1,NA,2,3,NA,1,2,2,1,2,2,1,2,2,1,25379.237506,26454.241876,1,172,0
"13243",122505,66,1,1,80,NA,3,3,NA,1,NA,5,1,NA,1,2,2,1,2,2,NA,NA,NA,NA,21202.893164,0,3,156,2.37
"13244",122506,66,1,1,16,NA,4,4,NA,1,NA,NA,NA,NA,1,2,2,1,2,2,NA,NA,NA,NA,17829.301772,0,1,165,0.77
"13245",122507,66,2,2,10,NA,2,2,2,1,NA,NA,NA,NA,2,1,2,2,2,2,1,2,2,NA,12449.444526,13201.0893,1,168,NA
